"","Wt1-1a","Wt1-1b","Wt1-1c","Wt1-2a","Wt1-2b","Wt1-3a","Wt1-3b","Wt1-3c","Wt1-4a","Wt1-4b","Wt1-4c","Wt1-5a","Wt1-5b","Wt1-5c","Wt1-6b","Wt1-6c","Wt2-1a","Wt2-1b","Wt2-1c","Wt2-2b","Wt2-2c","Wt2-3a","Wt2-3b","Wt2-3c","Wt2-4a","Wt2-5a","Wt2-5b","Wt2-5c","Wt2-6a","Wt2-6b","Wt2-6c"
"pdam_00000247",1.88726600631346,2.1336908325065,6.07778727600473,10.0141458592,13.7203329459484,4.96053003638801,2.23651503533221,2.07841137405737,2.46335647304601,2.57094595443718,12.2086413441894,9.0525562321294,5.47397765347662,3.66612067036024,1.28693589482274,2.3047345341444,5.88505801878587,11.700094379054,8.13252539031184,0,5.19710913679801,25.0511521761529,12.5997796122438,1.15565899306636,7.56518367823267,3.34604416674507,6.86878207077055,17.3458724984597,11.7207475479235,8.76820211789146,7.31835949052597
"pdam_00000248",25.4780910852318,19.2032174925585,16.4968511777271,21.6973160282666,17.9419738523941,52.0855653820741,23.4834078709882,41.5682274811474,17.243495311322,34.707770384902,22.197529716708,33.9470858704853,24.9370093102824,25.6628446925216,37.3211409498594,27.0806307761967,20.5977030657506,15.3001234187629,29.4804045398804,82.8845296935963,42.8761503785836,36.1849975877764,57.7489898894508,36.9810877781237,49.7140641712432,24.7607268339136,30.5973019516143,35.8481364968168,28.7691076176303,33.0493772135909,45.9060731678447
"pdam_00000249",21.7035590726048,21.336908325065,6.94604260114826,6.67609723946665,64.3800238232964,4.96053003638801,3.35477255299832,77.9404265271513,12.31678236523,6.42736488609296,8.87901188668321,7.92098670311323,31.6274264423094,7.94326145244718,123.545845902983,5.1856527018249,21.088124567316,15.3001234187629,0,0,1.2992772841995,9.74211473517056,2.0999632687073,6.93395395839819,19.4533294583126,2.00762650004704,63.6923428380542,5.78195749948658,266.913387341348,8.76820211789146,9.31427571521487
"pdam_00000250",23.5908250789183,21.336908325065,9.55080857657886,10.0141458592,45.3826397442909,9.92106007277602,10.0643176589949,45.7250502292621,4.92671294609201,11.5692567949673,8.87901188668321,3.39470858704853,16.4219329604299,12.2204022345341,38.6080768446821,17.8616926396191,23.049810573578,31.500254097453,21.3478791495686,31.0816986350986,0,5.56692270581175,8.39985307482921,10.4009309375973,5.40370262730905,21.4146826671685,28.723997750495,9.25113199917853,60.2020214961523,13.489541719833,21.9550784715779
"pdam_00000251",0.943633003156732,0,0,0,0,0,1.11825751766611,0,0,1.28547297721859,1.1098764858354,0,1.21643947855036,0.611020111726706,0.643467947411369,0,0.490421501565489,0,0,0,0,0,0,1.15565899306636,0,0.669208833349015,0,0,1.59828375653502,0.674477085991651,0
"pdam_00000252",125.503189419845,54.4091162289156,40.808000281746,36.7185348170666,187.863020336832,32.2434452365221,70.4502236129646,338.781053971351,30.7919559130751,37.2787163393392,23.3074062025434,37.3417944575338,114.345310983734,97.7632178762729,195.614256013056,29.9615489438772,57.8697371847277,34.2002758772347,7.11595971652286,62.1633972701972,0,54.2774963816645,14.6997428809511,34.6697697919909,14.0496268310035,93.6892366688621,204.190157921997,65.914315494147,30.9001526263437,85.6585899209397,26.6122163291854
"pdam_00000253",103.799630347241,146.157822026695,126.765277470956,145.2051149584,129.815457873204,178.579081309968,125.244841978604,146.528001871044,131.789571307961,159.398649175105,175.360484761993,165.209151236362,134.416562379815,131.369324021242,129.337057429685,137.131704781592,140.26054944773,119.700965570321,141.302628656668,62.1633972701972,81.8544689045687,98.8128780281585,114.447998144548,97.0753554175746,198.856256684973,129.826513669709,144.244423486182,55.5067919950712,141.714493079438,140.965710972255,136.387608687075
"pdam_00000254",25.4780910852318,19.2032174925585,18.2333618280142,38.3875591269332,23.2190249854512,17.361855127358,42.493785671312,35.3329933589753,22.1702082574141,69.415540769804,36.6259240325682,49.7890592767117,32.8438659208597,26.2738648042484,36.0342050550367,39.1804870804548,29.4252900939294,37.8003049169436,49.81171801566,10.3605662116995,20.788436547192,12.5255760880764,37.7993388367314,26.5801568405264,82.1362799350975,32.7912328341017,43.710431359449,15.0330894986651,47.4157514438722,39.7941480735074,55.8856542912892
"pdam_00000255",23.5908250789183,33.0722079038507,19.9698724783012,31.7114618874666,36.9393579313996,23.5625176728431,20.1286353179899,25.9801421757171,16.011817074799,15.4256757266231,22.197529716708,16.9735429352426,8.51507634985252,29.9399854746086,25.7387178964548,36.8757525463104,16.1839095516611,22.5001814981807,34.5632329088253,41.4422648467982,20.788436547192,40.3601896171352,40.9492837397924,20.8018618751946,3.24222157638543,10.0381325002352,23.7285198808437,34.6917449969195,31.432913878522,34.3983313855742,20.6244676551187
"pdam_00000256",15034.9046392962,13138.2013011587,13517.8671571597,12268.9977018298,19226.4080981802,11873.0286420947,12664.2663875686,18933.2884119756,10557.9458434752,14676.2449809047,11963.3586408198,13921.699915486,14145.9746960621,13419.8347138536,25613.2416467095,20776.0294580447,12449.8402387415,10897.2879031989,11116.1456428825,32532.1779047366,15024.842514483,39519.5842885576,13437.664956458,12615.1735683124,10532.8971611508,14650.98898851,19236.3364065598,35453.8069953518,16643.9942793035,18516.4194417288,17180.1815567138
